Sr,Scheme Name,"No. of Schemesas on November 30, 2022","No. of Folios as on November 30, 2022",Funds Mobilized for the month of November 2022 (INR in crore),Repurchase/ Redemption for the month of November 2022 (INR in crore),"Net Assets Under Management as on November 30, 2022 (INR in crore)",Average Net Assets Under Management for the month November 2022 (INR in crore),"No. of segregated portfolios created as on November 30, 2022","Net Assets Under Management in segregated portfolio as on November 30, 2022 (INR in crore)"
xi,Corporate Bond Fund,20,"6,21,178","5,912.44","2,445.99","1,15,842.87","1,11,606.11",-,-
xii,Credit Risk Fund,15,"2,52,907",292.63,496.73,"25,508.34","25,507.37",3,-
xiii,Banking and PSU Fund,23,"3,06,337",798.77,"2,663.64","75,286.77","76,017.06",-,-
xiv,Gilt Fund,22,"1,69,251",360.03,160.48,"16,262.19","16,103.41",-,-
xv,Gilt Fund with 10 year constant duration,5,"42,652",78.45,36.75,"1,588.97","1,559.12",-,-
xvi,Floater Fund,12,"2,46,435","2,272.13","2,592.61","60,834.84","60,766.31",-,-
,Sub Total - I (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi+xii+xiii+xiv+xv+xvi),311,"71,83,124","7,76,475.94","7,72,807.35","12,56,914.21","13,01,084.31",7,-
,,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,Multi Cap Fund,15,"37,28,778","1,347.05","1,176.56","66,569.84","65,569.45",-,-
ii,Large Cap Fund,30,"1,28,61,604","3,152.02","4,190.86","2,50,691.10","2,46,261.33",-,-
iii,Large & Mid Cap Fund,26,"74,85,176","2,516.49","1,923.57","1,30,047.07","1,27,812.40",-,-
iv,Mid Cap Fund,28,"99,52,029","3,591.89","2,415.58","1,86,335.38","1,83,811.10",-,-
v,Small Cap Fund,23,"97,51,585","3,715.32","2,337.07","1,29,947.56","1,27,191.61",-,-
vi,Dividend Yield Fund,8,"5,90,115",94.77,218.03,"10,511.25","10,363.00",-,-
vii,Value Fund/Contra Fund,22,"43,89,832","1,256.58","1,132.93","91,907.10","89,917.85",-,-
viii,Focused Fund,26,"53,18,079","1,650.07","1,933.60","1,06,999.47","1,05,622.54",-,-
ix,Sectoral/Thematic Funds,123,"1,28,18,711","5,908.79","4,529.11","1,73,537.45","1,68,958.00",-,-
x,ELSS,40,"1,44,65,663","1,653.23","1,907.11","1,58,601.58","1,55,947.40",-,-
xi,Flexi Cap Fund,33,"1,24,81,293","3,401.45","4,264.88","2,52,855.66","2,49,520.53",-,-
,Sub Total - II (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi),374,"9,38,42,865","28,287.65","26,029.30","15,58,003.46","15,30,975.21",-,-
,,,,,,,,,
III,Hybrid Schemes,,,,,,,,
i,Conservative Hybrid Fund,20,"5,16,008",355.44,441.60,"22,783.88","22,646.58",1,-
ii,Balanced Hybrid Fund/Aggressive Hybrid Fund,31,"52,66,770","2,073.24","2,607.03","1,61,371.30","1,60,071.23",2,9.33
iii,Dynamic Asset Allocation/Balanced Advantage Fund,27,"44,26,119","3,091.32","4,685.77","1,96,899.36","1,96,603.25",-,-
iv,Multi Asset Allocation Fund,9,"8,54,585",503.58,417.79,"22,361.82","23,192.73",-,-
v,Arbitrage Fund,26,"4,75,354","4,211.65","8,286.29","73,328.99","87,864.67",-,-
vi,Equity Savings Fund,22,"3,63,184",400.63,674.71,"17,055.03","17,709.12",2,25.81
,Sub Total - III (i+ii+iii+iv+v+vi),135,"1,19,02,020","10,635.85","17,113.18","4,93,800.37","5,08,087.59",5,35.14
,,,,,,,,,
IV,Solution Oriented Schemes,,,,,,,,
i,Retirement Fund,26,"27,31,618",196.66,159.57,"18,232.92","17,949.72",-,-
ii,Childrens Fund,10,"29,12,681",106.25,50.50,"14,451.26","14,233.55",-,-
,Sub Total - IV (i+ii),36,"56,44,299",302.91,210.07,"32,684.18","32,183.26",-,-
,,,,,,,,,
V,Other Schemes,,,,,,,,
i,Index Funds,137,"30,78,798","10,912.42","2,310.69","1,23,711.33","1,18,650.94",-,-
ii,GOLD ETF,11,"46,67,294",57.75,252.49,"20,832.77","20,427.38",-,-
iii,Other ETFs,146,"1,16,77,116","10,066.63","8,099.35","5,01,541.48","4,90,194.78",-,-
iv,Fund of funds investing overseas,49,"12,52,936",611.59,591.80,"20,863.17","20,334.75",-,-
,Sub Total - V (i+ii+iii+iv),343,"2,06,76,144","21,648.39","11,254.33","6,66,948.75","6,49,607.85",-,-
,,,,,,,,,
,Total A-Open ended Schemes,"1,199","13,92,48,452","8,37,350.75","8,27,414.23","40,08,350.98","40,21,938.23",12,35.14
,,,,,,,,,
B,Close Ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Fixed Term Plan,90,"1,19,915","3,703.03",428.56,"18,672.77","17,082.24",-,-
ii,Capital Protection Oriented Schemes,7,"12,654",-,-,640.37,637.20,-,-
iii,Infrastructure Debt Fund,8,80,-,-,"2,098.48","2,091.39",-,-
iv,Other Debt Scheme,-,-,-,-,-,-,-,-
,Sub Total (i+ii+iii+iv),105,"1,32,649","3,703.03",428.56,"21,411.62","19,810.82",-,-
,,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,ELSS,19,"3,02,897",-,34.30,"3,760.11","3,718.48",-,-
ii,Other Equity Schemes,12,"68,262",-,-0.00,"3,338.34","3,294.37",-,-
,Sub Total (i+ii),31,"3,71,159",-,34.30,"7,098.45","7,012.85",-,-
,,,,,,,,,
III,Other Schemes,-,-,-,-,-,-,-,-
,,,,,,,,,
,Total B -Close ended Schemes,136,"5,03,808","3,703.03",462.86,"28,510.07","26,823.67",-,-
,,,,,,,,,
C,Interval Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,12,"2,890",212.33,125.45,699.76,678.19,-,-
,,,,,,,,,
II,Growth/Equity Oriented Schemes,-,-,-,-,-,-,-,-
,,,,,,,,,
III,Other Schemes,-,-,-,-,-,-,-,-
,,,,,,,,,
,Total C Interval Schemes,12,"2,890",212.33,125.45,699.76,678.19,-,-
,,,,,,,,,
,Grand Total,"1,347","13,97,55,150","8,41,266.11","8,28,002.54","40,37,560.81","40,49,440.09",12,35.14
,,,,,,,,,
,Fund of Funds Scheme (Domestic) **,##  79,"17,97,812","2,176.28","1,007.94","59,154.08","57,745.11",-,-
