Sr,Scheme Name,"No. of Schemesas on May 31, 2022","No. of Folios as on May 31, 2022",Funds Mobilized for the month of May 2022 (INR in crore),Repurchase/ Redemption for the month of May 2022 (INR in crore),"Net Assets Under Management as on May 31, 2022 (INR in crore)",Average Net Assets Under Management for the month May 2022 (INR in crore),"No. of segregated portfolios created as on May 31, 2022","Net Assets Under Management in segregated portfolio as on May 31, 2022 (INR in crore)"
xi,Flexi Cap Fund,31,"1,19,57,355","4,994.69","2,055.76","2,18,723.73","2,13,348.82",-,-
,Sub Total - II (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi),366,"8,85,48,634","31,619.32","13,089.88","13,31,545.93","13,02,529.70",-,-
,,,,,,,,,
III,Hybrid Schemes,,,,,,,,
i,Conservative Hybrid Fund,21,"5,08,531",423.03,374.88,"21,148.90","21,037.14",1,-
ii,Balanced Hybrid Fund/Aggressive Hybrid Fund,32,"51,16,432","2,751.43","1,370.96","1,44,800.05","1,42,987.55",2,9.33
iii,Dynamic Asset Allocation/Balanced Advantage Fund,25,"43,20,518","4,192.31","1,944.44","1,80,023.57","1,78,376.88",-,-
iv,Multi Asset Allocation Fund,10,"8,16,589",488.53,248.52,"19,727.14","20,562.39",-,-
v,Arbitrage Fund,25,"5,02,163","8,853.75","7,846.38","99,976.46","1,14,269.85",-,-
vi,Equity Savings Fund,22,"3,61,971",773.97,574.58,"17,080.92","17,397.63",2,25.81
,Sub Total - III (i+ii+iii+iv+v+vi),135,"1,16,26,204","17,483.02","12,359.77","4,82,757.04","4,94,631.44",5,35.14
,,,,,,,,,
IV,Solution Oriented Schemes,,,,,,,,
i,Retirement Fund,25,"26,92,309",189.46,90.42,"16,064.56","15,801.86",-,-
ii,Childrens Fund,10,"28,97,684",99.28,38.48,"12,833.24","12,644.70",-,-
,Sub Total - IV (i+ii),35,"55,89,993",288.75,128.90,"28,897.81","28,446.56",-,-
,,,,,,,,,
V,Other Schemes,,,,,,,,
i,Index Funds,94,"26,39,016","6,815.83","1,092.54","78,047.39","74,452.34",-,-
ii,GOLD ETF,11,"45,06,327",334.32,130.94,"20,261.99","20,042.85",-,-
iii,Other ETFs,124,"1,13,88,264","11,710.55","5,654.49","4,09,693.33","4,00,692.49",-,-
iv,Fund of funds investing overseas,46,"12,57,625",513.90,267.64,"20,411.69","19,676.44",-,-
,Sub Total - V (i+ii+iii+iv),275,"1,97,91,232","19,374.60","7,145.61","5,28,414.39","5,14,864.12",-,-
,,,,,,,,,
,Total A-Open ended Schemes,"1,123","13,28,43,589","8,41,116.10","8,37,796.83","36,93,888.82","37,02,556.46",15,281.91
,,,,,,,,,
B,Close Ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Fixed Term Plan,121,"95,982",-,"10,039.06","17,602.50","23,317.12",-,-
ii,Capital Protection Oriented Schemes,10,"16,205",-,534.50,805.11,"1,315.72",-,-
iii,Infrastructure Debt Fund,8,80,-,-,"2,027.08","2,020.60",-,-
iv,Other Debt Scheme,-,-,-,-,-,-,-,-
,Sub Total (i+ii+iii+iv),139,"1,12,267",-,"10,573.56","20,434.69","26,653.44",-,-
,,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,ELSS,19,"3,10,637",-,20.35,"3,497.52","3,440.71",-,-
ii,Other Equity Schemes,14,"79,231",-,840.30,"3,198.01","3,871.03",-,-
,Sub Total (i+ii),33,"3,89,868",-,860.65,"6,695.53","7,311.75",-,-
,,,,,,,,,
III,Other Schemes,-,-,-,-,-,-,-,-
,,,,,,,,,
,Total B -Close ended Schemes,172,"5,02,135",-,"11,434.20","27,130.23","33,965.19",-,-
,,,,,,,,,
C,Interval Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,12,"2,990",659.51,77.11,991.17,565.83,-,-
,,,,,,,,,
II,Growth/Equity Oriented Schemes,-,-,-,-,-,-,-,-
,,,,,,,,,
III,Other Schemes,-,-,-,-,-,-,-,-
,,,,,,,,,
,Total C Interval Schemes,12,"2,990",659.51,77.11,991.17,565.83,-,-
,,,,,,,,,
,Grand Total,"1,307","13,33,48,714","8,41,775.61","8,49,308.14","37,22,010.22","37,37,087.48",15,281.91
,,,,,,,,,
,Fund of Funds Scheme (Domestic) **,71,"17,53,092","1,631.47",824.98,"48,587.09","48,002.47",-,-
