Sr,Scheme Name,"No. of Schemesas on April 30, 2022","No. of Folios as on April 30, 2022",Funds Mobilized for the month of April 2022 (INR in crore),Repurchase/ Redemption for the month of April 2022 (INR in crore),"Net Assets Under Management as on April 30, 2022 (INR in crore)",Average Net Assets Under Management for the month April 2022 (INR in crore),"No. of segregated portfolios created as on April 30, 2022","Net Assets Under Management in segregated portfolio as on April 30, 2022 (INR in crore)"
ii,Other Equity Schemes,16,"1,04,018",-,217.86,"4,265.30","4,524.26",-,-
,Sub Total (i+ii),35,"4,15,799",-,242.60,"7,919.50","8,266.49",-,-
,,,,,,,,,
III,Other Schemes,-,-,-,-,-,-,-,-
,,,,,,,,,
,Total B -Close ended Schemes,235,"5,72,086",-,"20,900.74","39,281.02","50,071.34",-,-
,,,,,,,,,
C,Interval Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,21,"3,000",0.00,139.33,408.61,424.50,-,-
,,,,,,,,,
II,Growth/Equity Oriented Schemes,-,-,-,-,-,-,-,-
,,,,,,,,,
III,Other Schemes,-,-,-,-,-,-,-,-
,,,,,,,,,
,Total C Interval Schemes,21,"3,000",0.00,139.33,408.61,424.50,-,-
,,,,,,,,,
,Grand Total,"1,379","13,12,94,541","8,17,044.37","7,44,197.58","38,03,683.26","38,88,960.12",15,281.80
,,,,,,,,,
,Fund of Funds Scheme (Domestic) **,##  71,"17,41,068","1,454.87",707.77,"48,377.44","48,522.77",-,-
