Sr,Scheme Name,"No. of Schemes as on July 31, 2021","No. of Folios as on July 31, 2021",Funds Mobilized for the month of July 2021 (INR in crore),Repurchase/ Redemption for the month of July2021 (INR in crore),"Net Assets Under Management  as on July 31, 2021 (INR in crore)",Average Net Assets Under Management for the month July 2021 (INR in crore),"No. of segregated portfolios created as on July 31, 2021","Net Assets Under Management in segregated portfolio as on July 31, 2021 (INR in crore)"
xv,Gilt Fund with 10 year constant duration,4,"51,180",22.43,69.64,"1,453.08","1,468.68",-,-
xvi,Floater Fund,12,"2,69,200","14,833.75","7,410.25","84,151.88","78,499.80",-,-
,Sub Total - I (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi+xii+xiii+xiv+xv+xvi),317,"78,28,089","7,04,824.37","6,31,130.33","14,66,222.79","14,72,870.56",20,725.71
,,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,Multi Cap Fund,11,"16,01,883",685.83,521.27,"25,802.52","25,153.58",-,-
ii,Large Cap Fund,33,"1,10,46,261","3,757.06","3,164.05","1,98,796.32","1,97,437.09",-,-
iii,Large & Mid Cap Fund,28,"54,15,249","2,379.01","1,145.11","92,208.80","90,171.82",-,-
iv,Mid Cap Fund,27,"73,28,031","3,591.62","2,103.75","1,42,791.50","1,39,167.17",-,-
v,Small Cap Fund,25,"59,22,875","3,540.22","1,761.57","94,014.75","90,450.98",-,-
vi,Dividend Yield Fund,8,"5,39,484",153.83,101.00,"8,763.80","8,570.18",-,-
vii,Value Fund/Contra Fund,19,"38,24,510","1,229.11","1,691.29","71,530.63","69,988.47",-,-
viii,Focused Fund,26,"42,01,884","2,236.16","1,226.29","80,871.36","79,669.72",-,-
ix,Sectoral/Thematic Funds,110,"90,50,255","8,627.73","2,899.20","1,23,935.71","1,21,170.36",-,-
x,ELSS,42,"1,28,15,213","1,338.50","1,850.25","1,38,662.70","1,37,543.94",-,-
xi,Flexi Cap Fund,26,"93,31,465","14,561.82","3,053.59","1,93,422.29","1,85,252.93",-,-
,Sub Total - II (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi),355,"7,10,77,110","42,100.88","19,517.36","11,70,800.37","11,44,576.24",-,-
,,,,,,,,,
III,Hybrid Schemes,,,,,,,,
i,Conservative Hybrid Fund,22,"4,59,172","1,177.14",450.65,"17,079.50","15,910.03",2,44.16
ii,Balanced Hybrid Fund/Aggressive Hybrid Fund,34,"48,07,843","3,378.04","2,637.40","1,35,589.18","1,33,934.81",2,9.33
iii,Dynamic Asset Allocation/Balanced Advantage Fund,23,"29,82,734","4,719.48","2,265.89","1,22,591.86","1,22,265.90",-,-
iv,Multi Asset Allocation Fund,10,"7,32,775",471.63,480.92,"16,432.03","17,082.47",-,-
v,Arbitrage Fund,26,"5,52,026","20,043.22","5,118.79","1,08,177.88","1,11,049.03",-,-
vi,Equity Savings Fund,23,"3,00,058","1,110.54",465.33,"12,031.15","12,088.53",2,25.81
,Sub Total - III (i+ii+iii+iv+v+vi),138,"98,34,608","30,900.05","11,418.98","4,11,901.60","4,12,330.77",6,79.30
,,,,,,,,,
IV,Solution Oriented Schemes,,,,,,,,
i,Retirement Fund,25,"26,39,949",204.93,163.85,"15,130.15","14,969.45",-,-
ii,Childrens Fund,10,"28,82,059",87.73,50.55,"12,105.23","11,974.25",-,-
,Sub Total - IV (i+ii),35,"55,22,008",292.67,214.40,"27,235.38","26,943.70",-,-
,,,,,,,,,
V,Other Schemes,,,,,,,,
i,Index Funds,50,"14,32,720","1,974.65",863.81,"26,332.77","25,728.03",-,-
ii,GOLD ETF,11,"19,13,635",195.84,257.33,"16,749.75","16,579.71",-,-
iii,Other ETFs,100,"58,57,391","10,322.97","3,778.40","3,14,059.98","3,11,093.16",-,-
iv,Fund of funds investing overseas,37,"9,79,540","2,777.34",287.09,"20,331.25","18,513.44",-,-
,Sub Total - V (i+ii+iii+iv),198,"1,01,83,286","15,270.80","5,186.64","3,77,473.74","3,71,914.34",-,-
,,,,,,,,,
,Total A-Open ended Schemes,"1,043","10,44,45,101","7,93,388.77","6,67,467.71","34,53,633.89","34,28,635.61",26,805.01
,,,,,,,,,
B,Close Ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Fixed Term Plan,363,"2,45,255",241.19,"10,020.27","58,397.22","65,110.18",-,-
ii,Capital Protection Oriented Schemes,14,"32,901",-,0.00,"1,678.02","1,673.99",-,-
iii,Infrastructure Debt Fund,8,80,-,-,"1,991.23","1,985.78",-,-
iv,Other Debt Scheme,1,718,-,45.02,59.76,61.10,-,-
,Sub Total (i+ii+iii+iv),386,"2,78,954",241.19,"10,065.29","62,126.23","68,831.05",-,-
,,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,ELSS,25,"4,07,746",-,164.53,"4,879.52","4,910.68",-,-
ii,Other Equity Schemes,35,"3,62,698",-,"1,676.22","11,093.43","12,184.00",-,-
,Sub Total (i+ii),60,"7,70,444",-,"1,840.75","15,972.96","17,094.68",-,-
,,,,,,,,,
III,Other Schemes,-,-,-,-,-,-,-,-
,,,,,,,,,
,Total B -Close ended Schemes,446,"10,49,398",241.19,"11,906.04","78,099.18","85,925.73",-,-
,,,,,,,,,
C,Interval Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,21,"3,338",0.01,1.03,119.76,148.24,-,-
,,,,,,,,,
II,Growth/Equity Oriented Schemes,-,-,-,-,-,-,-,-
,,,,,,,,,
III,Other Schemes,-,-,-,-,-,-,-,-
,,,,,,,,,
,Total C Interval Schemes,21,"3,338",0.01,1.03,119.76,148.24,-,-
,,,,,,,,,
,Grand Total,"1,510","10,54,97,837","7,93,629.97","6,79,374.77","35,31,852.83","35,14,709.58",26,805.01
,,,,,,,,,
,Fund of Funds Scheme (Domestic) **,57,"13,99,549","1,750.04",754.28,"35,886.85","35,209.47",-,-
