Sr,Scheme Name,"No. of Schemesas on August 31, 2022","No. of Folios as on August 31, 2022",Funds Mobilized for the month of August 2022 (INR in crore),Repurchase/ Redemption for the month of August 2022 (INR in crore),"Net Assets Under Management as on August 31, 2022 (INR in crore)",Average Net Assets Under Management for the month August 2022 (INR in crore),"No. of segregated portfolios created as on August 31, 2022","Net Assets Under Management in segregated portfolio as on August 31, 2022 (INR in crore)"
iv,Fund of funds investing overseas,46,"12,46,685",446.58,544.51,"20,507.49","21,507.31",-,-
,Sub Total - V (i+ii+iii+iv),295,"2,01,79,210","22,784.29","7,715.66","6,04,290.04","5,93,289.09",-,-
,,,,,,,,,
,Total A-Open ended Schemes,"1,156","13,59,69,514","8,93,155.49","8,29,312.02","39,07,053.71","39,28,083.56",15,282.18
,,,,,,,,,
B,Close Ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Fixed Term Plan,92,"1,06,121","2,292.90",778.76,"16,110.17","14,581.23",-,-
ii,Capital Protection Oriented Schemes,9,"15,541",-,36.21,786.63,783.18,-,-
iii,Infrastructure Debt Fund,8,80,-,-,"2,056.50","2,052.95",-,-
iv,Other Debt Scheme,-,-,-,-,-,-,-,-
,Sub Total (i+ii+iii+iv),109,"1,21,742","2,292.90",814.97,"18,953.30","17,417.36",-,-
,,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,ELSS,19,"3,06,845",-,40.51,"3,693.68","3,665.13",-,-
ii,Other Equity Schemes,13,"73,765",-,136.83,"3,358.13","3,431.76",-,-
,Sub Total (i+ii),32,"3,80,610",-,177.34,"7,051.81","7,096.89",-,-
,,,,,,,,,
III,Other Schemes,-,-,-,-,-,-,-,-
,,,,,,,,,
,Total B -Close ended Schemes,141,"5,02,352","2,292.90",992.30,"26,005.11","24,514.25",-,-
,,,,,,,,,
C,Interval Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,12,"2,952",269.83,336.43,818.95,825.47,-,-
,,,,,,,,,
II,Growth/Equity Oriented Schemes,-,-,-,-,-,-,-,-
,,,,,,,,,
III,Other Schemes,-,-,-,-,-,-,-,-
,,,,,,,,,
,Total C Interval Schemes,12,"2,952",269.83,336.43,818.95,825.47,-,-
,,,,,,,,,
,Grand Total,"1,309","13,64,74,818","8,95,718.22","8,30,640.76","39,33,877.77","39,53,423.28",15,282.18
,,,,,,,,,
,Fund of Funds Scheme (Domestic) **,##  72,"17,81,488","2,574.71",892.16,"55,483.13","54,903.21",-,-
