Sr,Scheme Name,"No. of Schemesas on February 28, 2023","No. of Folios as on February 28, 2023",Funds Mobilized for the month of February 2023 (INR in crore),Repurchase/ Redemption for the month of February 2023 (INR in crore),"Net Assets Under Management as on February 28, 2023 (INR in crore)",Average Net Assets Under Management for the month February 2023 (INR in crore),"No. of segregated portfolios created as on February 28, 2023","Net Assets Under Management in segregated portfolio as on February 28, 2023 (INR in crore)"
iv,Multi Asset Allocation Fund,11,"10,31,458",863.50,352.98,"25,947.52","27,473.44",-,-
v,Arbitrage Fund,26,"4,58,666","4,958.00","4,893.36","77,229.34","90,669.40",-,-
vi,Equity Savings Fund,22,"3,63,214",334.53,540.22,"16,444.57","17,306.08",2,25.81
,Sub Total - III (i+ii+iii+iv+v+vi),138,"1,21,33,154","11,319.44","10,859.12","4,87,415.00","5,09,565.97",5,35.14
,,,,,,,,,
IV,Solution Oriented Schemes,,,,,,,,
i,Retirement Fund,26,"27,53,542",211.89,111.91,"17,810.88","17,986.30",-,-
ii,Childrens Fund,10,"29,24,260",109.29,39.84,"14,169.72","14,297.23",-,-
,Sub Total - IV (i+ii),36,"56,77,802",321.19,151.75,"31,980.60","32,283.53",-,-
,,,,,,,,,
V,Other Schemes,,,,,,,,
i,Index Funds,163,"35,82,822","9,476.33","3,232.03","1,38,814.08","1,36,565.99",-,-
ii,GOLD ETF,12,"46,93,916",308.26,142.83,"21,399.72","21,713.97",-,-
iii,Other ETFs,155,"1,19,63,506","14,801.20","14,772.27","4,81,776.05","4,91,599.72",-,-
iv,Fund of funds investing overseas,49,"12,74,592",444.05,394.52,"21,893.03","22,464.72",-,-
,Sub Total - V (i+ii+iii+iv),379,"2,15,14,836","25,029.83","18,541.65","6,63,882.87","6,72,344.41",-,-
,,,,,,,,,
,Total A-Open ended Schemes,"1,253","14,37,31,714","7,96,135.26","7,87,146.98","39,14,715.95","40,37,537.91",12,35.14
,,,,,,,,,
B,Close Ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Fixed Term Plan,107,"1,37,036",954.40,105.91,"21,741.50","21,172.58",-,-
ii,Capital Protection Oriented Schemes,7,"12,654",-,-,635.81,637.08,-,-
iii,Infrastructure Debt Fund,7,52,-,-,"1,967.72","1,963.58",-,-
iv,Other Debt Scheme,-,-,-,-,-,-,-,-
,Sub Total (i+ii+iii+iv),121,"1,49,742",954.40,105.91,"24,345.03","23,773.25",-,-
,,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,ELSS,19,"2,98,874",-,28.90,"3,440.15","3,526.84",-,-
ii,Other Equity Schemes,11,"67,552",0.01,-,"3,124.51","3,165.70",-,-
,Sub Total (i+ii),30,"3,66,426",0.01,28.90,"6,564.66","6,692.54",-,-
,,,,,,,,,
III,Other Schemes,-,-,-,-,-,-,-,-
,,,,,,,,,
,Total B -Close ended Schemes,151,"5,16,168",954.41,134.81,"30,909.69","30,465.79",-,-
,,,,,,,,,
C,Interval Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,12,"2,874",95.34,328.05,631.31,796.55,-,-
,,,,,,,,,
II,Growth/Equity Oriented Schemes,-,-,-,-,-,-,-,-
,,,,,,,,,
III,Other Schemes,-,-,-,-,-,-,-,-
,,,,,,,,,
,Total C Interval Schemes,12,"2,874",95.34,328.05,631.31,796.55,-,-
,,,,,,,,,
,Grand Total,"1,416","14,42,50,756","7,97,185.02","7,87,609.85","39,46,256.95","40,68,800.25",12,35.14
,,,,,,,,,
,Fund of Funds Scheme (Domestic) **,75,"18,51,052","1,499.88","1,548.48","61,075.61","61,742.07",-,-
