Sr,Scheme Name,"No. of Schemesas on December 31, 2022","No. of Folios as on December 31, 2022",Funds Mobilized for the month of December 2022 (INR in crore),Repurchase/ Redemption for the month of December 2022 (INR in crore),"Net Assets Under Management as on December 31, 2022 (INR in crore)",Average Net Assets Under Management for the month December 2022 (INR in crore),"No. of segregated portfolios created as on December 31, 2022","Net Assets Under Management in segregated portfolio as on December 31, 2022 (INR in crore)"
,Sub Total - V (i+ii+iii+iv),356,"2,08,51,321","28,319.44","12,921.60","6,68,395.54","6,67,040.49",-,-
,,,,,,,,,
,Total A-Open ended Schemes,"1,220","14,06,11,179","9,13,971.06","9,10,798.96","39,58,270.22","40,46,235.83",12,35.14
,,,,,,,,,
B,Close Ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Fixed Term Plan,97,"1,22,976","1,532.06",317.56,"19,994.37","19,394.67",-,-
ii,Capital Protection Oriented Schemes,7,"12,654",-,-,639.59,639.93,-,-
iii,Infrastructure Debt Fund,8,80,-,-,"2,114.55","2,096.49",-,-
iv,Other Debt Scheme,-,-,-,-,-,-,-,-
,Sub Total (i+ii+iii+iv),112,"1,35,710","1,532.06",317.56,"22,748.51","22,131.08",-,-
,,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,ELSS,19,"3,01,577",-,22.99,"3,628.21","3,684.54",-,-
ii,Other Equity Schemes,12,"68,228",-,0.00,"3,252.28","3,292.97",-,-
,Sub Total (i+ii),31,"3,69,805",-,22.99,"6,880.49","6,977.51",-,-
,,,,,,,,,
III,Other Schemes,-,-,-,-,-,-,-,-
,,,,,,,,,
,Total B -Close ended Schemes,143,"5,05,515","1,532.06",340.55,"29,629.00","29,108.59",-,-
,,,,,,,,,
C,Interval Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,12,"2,896",128.28,0.42,836.15,826.11,-,-
,,,,,,,,,
II,Growth/Equity Oriented Schemes,-,-,-,-,-,-,-,-
,,,,,,,,,
III,Other Schemes,-,-,-,-,-,-,-,-
,,,,,,,,,
,Total C Interval Schemes,12,"2,896",128.28,0.42,836.15,826.11,-,-
,,,,,,,,,
,Grand Total,"1,375","14,11,19,590","9,15,631.40","9,11,139.93","39,88,735.37","40,76,170.53",12,35.14
,,,,,,,,,
,Fund of Funds Scheme (Domestic) **,##  75,"18,00,914","1,951.31","1,347.21","59,822.12","59,710.18",-,-
