Sr,Scheme Name,"No. of Schemesas on March 31, 2023","No. of Folios as on March 31, 2023",Funds Mobilized for the month of March 2023 (INR in crore),Repurchase/ Redemption for the month of March 2023 (INR in crore),"Net Assets Under Management as on March 31, 2023 (INR in crore)",Average Net Assets Under Management for the month March 2023 (INR in crore),"No. of segregated portfolios created as on March 31, 2023","Net Assets Under Management in segregated portfolio as on March 31, 2023 (INR in crore)"
iii,Infrastructure Debt Fund,7,52,-,-,"1,981.98","1,976.66",-,-
iv,Other Debt Scheme,-,-,-,-,-,-,-,-
,Sub Total (i+ii+iii+iv),136,"1,67,669","3,878.10","1,466.34","26,993.99","24,981.24",-,-
,,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,ELSS,19,"2,97,534",-,28.30,"3,395.01","3,400.88",-,-
ii,Other Equity Schemes,10,"59,513",-,315.56,"2,804.69","2,881.58",-,-
,Sub Total (i+ii),29,"3,57,047",-,343.86,"6,199.70","6,282.46",-,-
,,,,,,,,,
III,Other Schemes,-,-,-,-,-,-,-,-
,,,,,,,,,
,Total B -Close ended Schemes,165,"5,24,716","3,878.10","1,810.19","33,193.69","31,263.70",-,-
,,,,,,,,,
C,Interval Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,12,"2,846",469.90,108.16,999.29,907.93,-,-
,,,,,,,,,
II,Growth/Equity Oriented Schemes,-,-,-,-,-,-,-,-
,,,,,,,,,
III,Other Schemes,-,-,-,-,-,-,-,-
,,,,,,,,,
,Total C Interval Schemes,12,"2,846",469.90,108.16,999.29,907.93,-,-
,,,,,,,,,
,Grand Total,"1,455","14,57,30,600","10,15,669.58","10,34,933.85","39,42,030.68","40,04,637.60",12,35.14
,,,,,,,,,
,Fund of Funds Scheme (Domestic) **,##  76,"18,62,743","6,077.65","2,007.98","66,590.41","61,842.01",-,-
