Sr,Scheme Name,"No. of Schemesas on January 31, 2023","No. of Folios as on January 31, 2023",Funds Mobilized for the month of January 2023 (INR in crore),Repurchase/ Redemption for the month of January 2023 (INR in crore),"Net Assets Under Management as on January31, 2023 (INR in crore)",Average Net Assets Under Management for the  month January 2023 (INR in crore),"No. of segregated portfolios created as on January 31, 2023","Net Assets Under Management in segregated portfolio as on January 31, 2023 (INR in crore)"
,Sub Total - V (i+ii+iii+iv),364,"2,11,75,049","23,604.27","19,649.68","6,64,813.79","6,67,268.03",-,-
,,,,,,,,,
,Total A-Open ended Schemes,"1,232","14,23,29,455","8,66,713.05","8,55,846.72","39,31,446.22","40,49,707.70",12,35.14
,,,,,,,,,
B,Close Ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Fixed Term Plan,102,"1,30,855",851.13,97.46,"20,854.59","20,394.04",-,-
ii,Capital Protection Oriented Schemes,7,"12,654",-,-,637.10,639.66,-,-
iii,Infrastructure Debt Fund,7,52,-,170.58,"1,956.90","1,952.40",-,-
iv,Other Debt Scheme,-,-,-,-,-,-,-,-
,Sub Total (i+ii+iii+iv),116,"1,43,561",851.13,268.04,"23,448.60","22,986.10",-,-
,,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,ELSS,19,"3,00,193",-,23.50,"3,517.22","3,573.24",-,-
ii,Other Equity Schemes,11,"67,549",-,51.42,"3,153.74","3,185.56",-,-
,Sub Total (i+ii),30,"3,67,742",-,74.92,"6,670.96","6,758.80",-,-
,,,,,,,,,
III,Other Schemes,-,-,-,-,-,-,-,-
,,,,,,,,,
,Total B -Close ended Schemes,146,"5,11,303",851.13,342.96,"30,119.56","29,744.90",-,-
,,,,,,,,,
C,Interval Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,12,"2,884",0.31,1.60,839.73,858.00,-,-
,,,,,,,,,
II,Growth/Equity Oriented Schemes,-,-,-,-,-,-,-,-
,,,,,,,,,
III,Other Schemes,-,-,-,-,-,-,-,-
,,,,,,,,,
,Total C Interval Schemes,12,"2,884",0.31,1.60,839.73,858.00,-,-
,,,,,,,,,
,Grand Total,"1,390","14,28,43,642","8,67,564.50","8,56,191.29","39,62,405.52","40,80,310.60",12,35.14
,,,,,,,,,
,Fund of Funds Scheme (Domestic) **,75,"18,34,917","1,690.61",769.03,"61,320.83","60,686.88",-,-
