Sr,Scheme Name,"No. of Schemesas on October 31, 2023","No. of Folios  as on October 31, 2023",Funds Mobilized for the month of October 2023 (INR in crore),Repurchase/ Redemption for the month of October 2023 (INR in crore),"Net Assets Under Management as on October 31, 2023 (INR in crore)",Average Net Assets UnderManagement for the month October 2023 (INR in crore),"No. of segregat ed portfolios created as on October 31, 2023","Net Assets Under Management in segregated portfolio as on October 31, 2023 (INR in crore)"
xv,Gilt Fund with 10 year constant duration,5,"40,273",554.07,256.73,"4,310.70","4,372.64",-,-
xvi,Floater Fund,13,"2,26,798","6,456.12","5,857.91","59,751.11","60,823.16",-,-
,Sub Total - I (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi+xii+xiii+xiv+xv+xvi),313,"72,40,600","8,85,707.55","8,43,073.85","13,54,211.09","14,06,391.00",7,-
,,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,Multi Cap Fund,23,"50,21,790","3,953.04","1,042.29","94,285.38","94,391.23",-,-
ii,Large Cap Fund,30,"1,31,20,371","3,948.57","3,224.76","2,60,808.23","2,66,148.53",-,-
iii,Large & Mid Cap Fund,26,"84,14,596","3,844.42","2,110.33","1,59,851.63","1,62,568.85",-,-
iv,Mid Cap Fund,29,"1,22,44,014","5,205.13","2,796.21","2,41,298.68","2,44,515.68",-,-
v,Small Cap Fund,25,"1,53,46,265","7,084.33","2,589.20","1,99,445.06","2,00,288.56",-,-
vi,Dividend Yield Fund,9,"7,96,208",573.99,176.74,"18,464.92","18,613.23",-,-
vii,Value Fund/Contra Fund,23,"54,16,399","2,284.11","1,869.05","1,14,600.82","1,16,203.24",-,-
viii,Focused Fund,27,"51,47,044","2,291.91","1,750.45","1,11,307.71","1,13,117.38",-,-
ix,Sectoral/Thematic Funds,142,"1,46,31,293","7,600.75","3,705.02","2,18,454.78","2,20,512.13",-,-
x,ELSS,42,"1,54,71,152","1,696.90","1,430.56","1,75,139.10","1,78,610.21",-,-
xi,Flexi Cap Fund,37,"1,32,64,789","5,321.40","3,152.76","2,85,761.70","2,89,670.00",-,-
,Sub Total - II (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi),413,"10,88,73,921","43,804.55","23,847.38","18,79,418.00","19,04,639.03",-,-
,,,,,,,,,
III,Hybrid Schemes,,,,,,,,
i,Conservative Hybrid Fund,20,"5,32,260",375.63,377.36,"25,265.32","25,365.12",1,-
ii,Balanced Hybrid Fund/Aggressive Hybrid Fund,32,"53,49,511","2,321.33","2,154.42","1,71,657.96","1,74,443.27",2,9.33
iii,Dynamic Asset Allocation/Balanced Advantage Fund,29,"43,65,084","4,015.45","3,055.01","2,12,166.66","2,14,359.10",-,-
iv,Multi Asset Allocation Fund,16,"14,69,736","2,965.75",555.71,"43,829.58","45,092.18",-,-
v,Arbitrage Fund,26,"4,55,636","15,630.61","10,107.46","1,12,248.42","1,30,545.37",-,-
vi,Equity Savings Fund,22,"3,80,418","1,728.63",880.57,"22,650.71","22,774.02",2,25.81
,Sub Total - III (i+ii+iii+iv+v+vi),145,"1,25,52,645","27,037.40","17,130.53","5,87,818.65","6,12,579.05",5,35.14
,,,,,,,,,
IV,Solution Oriented Schemes,,,,,,,,
i,Retirement Fund,27,"28,24,070",385.75,126.30,"21,417.46","21,597.88",-,-
ii,Childrens Fund,10,"29,49,631",136.76,53.55,"16,518.53","16,701.75",-,-
,Sub Total - IV (i+ii),37,"57,73,701",522.51,179.86,"37,935.99","38,299.64",-,-
,,,,,,,,,
V,Other Schemes,,,,,,,,
i,Index Funds,191,"56,91,078","4,224.09","2,135.49","1,84,238.34","1,84,429.81",-,-
ii,GOLD ETF,13,"48,33,807","1,069.51",228.28,"26,162.72","24,789.22",-,-
iii,Other ETFs,174,"1,26,23,786","14,242.22","9,472.96","5,52,860.57","5,59,683.94",-,-
iv,Fund of funds investing overseas,53,"14,48,216",611.78,564.98,"21,419.79","21,852.09",-,-
,Sub Total - V (i+ii+iii+iv),431,"2,45,96,887","20,147.61","12,401.71","7,84,681.43","7,90,755.07",-,-
,,,,,,,,,
,Total A-Open ended Schemes,"1,339","15,90,37,754","9,77,219.61","8,96,633.33","46,44,065.16","47,52,663.79",12,35.14
,,,,,,,,,
B,Close Ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Fixed Term Plan,84,"97,531",-,-,"16,772.92","16,738.58",-,-
ii,Capital Protection Oriented Schemes,-,-,-,-,-,-,-,-
iii,Infrastructure Debt Fund,5,41,-,-,"1,579.52","1,574.33",-,-
iv,Other Debt Scheme,1,"2,21,118",20.91,53.01,"5,182.13","5,242.84",-,-
,Sub Total (i+ii+iii+iv),90,"3,18,690",20.91,53.01,"23,534.57","23,555.75",-,-
,,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,ELSS,19,"2,85,998",-,25.21,"3,699.08","3,785.29",-,-
ii,Other Equity Schemes,1,"1,738",-,-,111.14,113.52,-,-
,Sub Total (i+ii),20,"2,87,736",-,25.21,"3,810.22","3,898.81",-,-
,,,,,,,,,
III,Other Schemes,-,-,-,-,-,-,-,-
,,,,,,,,,
,Total B -Close ended Schemes,110,"6,06,426",20.91,78.22,"27,344.79","27,454.56",-,-
,,,,,,,,,
C,Interval Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,12,"2,610",0.42,0.89,277.95,304.09,-,-
,,,,,,,,,
II,Growth/Equity Oriented Schemes,-,-,-,-,-,-,-,-
,,,,,,,,,
III,Other Schemes,-,-,-,-,-,-,-,-
,,,,,,,,,
,Total C Interval Schemes,12,"2,610",0.42,0.89,277.95,304.09,-,-
,,,,,,,,,
,Grand Total,"1,461","15,96,46,790","9,77,240.94","8,96,712.44","46,71,687.90","47,80,422.43",12,35.14
,,,,,,,,,
,Fund of Funds Scheme (Domestic) **,76,"19,03,814",763.30,836.47,"69,099.75","69,093.58",-,-
